run,file,stage,stage_lp,iteration,bank,fourier_k,lp_A,voxels,pct_base
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,101,8,,4.0,238,0.12
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,1,,19.7,86235,44.0
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,2,,15.1,55590,28.36
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,3,,12.2,24229,12.36
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,4,,9.8,14085,7.19
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,5,,8.0,13176,6.72
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,6,,6.0,2407,1.23
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,7,,5.0,24,0.01
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,102,8,,4.0,249,0.13
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,1,,19.7,89931,45.87
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,2,,15.1,53926,27.5
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,3,,12.2,22655,11.55
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,4,,9.8,14050,7.17
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,5,,8.0,12932,6.6
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,6,,6.0,2348,1.2
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,7,,5.0,2,0.0
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,103,8,,4.0,233,0.12
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,1,,19.7,89383,45.53
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,2,,15.1,55537,28.29
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,3,,12.2,22717,11.57
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,4,,9.8,13212,6.73
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,5,,8.0,12304,6.27
R01,ABINITIO3D_OUTPUT_RESTART1,8,4.5,104,6,,6.0,2644,1.35
